,title,publication_date,location,workload,job_type,company,job_link,keyword
4944,Data Manager/SAP Key User (w/m/d) 80-100%,03 May 2023,Zürich,80% – 100%,Unlimited employment,MAN Energy Solutions Schweiz AG,https://www.jobs.ch/en/vacancies/detail/bdbc740f-91c9-4bd0-8d2a-64272c5d0cd4/?source=vacancy_search,data manager
4945,Junior Master Data Manager (w/m/d) 40-50%,10 May 2023,Dübendorf,40% – 50%,Unlimited employment,Maagtechnic AG,https://www.jobs.ch/en/vacancies/detail/7a790b0e-0910-42bf-ad04-67fa8f1ca283/?source=vacancy_search,data manager
4946,Data & Pricing Manager Aftersales (m/w/d) 100%,08 May 2023,Schlieren,100%,Unlimited employment,Astara Ital Switzerland AG,https://www.jobs.ch/en/vacancies/detail/dae3a45b-c0ef-40f7-854d-d934a68fbe4b/?source=vacancy_search,data manager
4947,Leiterin / Leiter Data Competence Centre,06 May 2023,Bern-Liebefeld,80% – 100%,Unlimited employment,Bundesamt für Lebensmittelsicherheit und Veterinärwesen BLV,https://www.jobs.ch/en/vacancies/detail/13fd9804-146d-4a11-ab40-37d9d8d0abf7/?source=vacancy_search,data manager
4948,Client Data Management Officer (Ref. 2002),29 April 2023,Basel,100%,Unlimited employment,Bank J. Safra Sarasin AG,https://www.jobs.ch/en/vacancies/detail/a017f13c-742e-420a-8854-5584adadd6d7/?source=vacancy_search,data manager
4949,Data Engineer (a)*,10 May 2023,Zürich-Seefeld,80% – 100%,Unlimited employment,Ringier AG,https://www.jobs.ch/en/vacancies/detail/5495ba4f-7c74-4ee2-8711-e34faba4127c/?source=vacancy_search,data manager
4950,Data Protection Manager (befristet für 01.06.2023 - 31.03.2024),28 April 2023,Zürich,100%,Temporary,PwC,https://www.jobs.ch/en/vacancies/detail/6507153d-5448-4561-8f98-f592a6ef06bf/?source=vacancy_search,data manager
4951,Stammdatenmanager:in und Controller:in 80-100%,08 May 2023,Bern 16,80% – 100%,Unlimited employment,Unia Zentralsekretariat Bern,https://www.jobs.ch/en/vacancies/detail/e7d3b275-61e6-4b3d-9627-847a1c2ed825/?source=vacancy_search,data manager
4952,Junior MDM Data Steward SAP,22 May 2023,Nänikon,100%,Unlimited employment,Mettler Toledo,https://www.jobs.ch/en/vacancies/detail/ec7113b9-1e8d-4265-ac0a-9bf3541b875a/?source=vacancy_search,data manager
4953,Print & Masterdata Administrator (m/w/d - 100%),14 May 2023,Schaffhausen,100%,Unlimited employment,IWC Schaffhausen,https://www.jobs.ch/en/vacancies/detail/6e924637-5abc-455d-8263-5f27ccae9086/?source=vacancy_search,data manager
4954,Messdatenmanager*in (m/w/d) 80 bis 100%,17 May 2023,Langenthal,80% – 100%,Unlimited employment,IB Langenthal AG,https://www.jobs.ch/en/vacancies/detail/f3624226-fc68-4bfd-adf2-e78b626b7f8b/?source=vacancy_search,data manager
4955,Product Data Management (PDM) Application Engineer (m/w/d),08 May 2023,Zürich,100%,Unlimited employment,Rheinmetall Air Defence AG,https://www.jobs.ch/en/vacancies/detail/b581bea0-9ff6-48c9-802d-a05e1890ac27/?source=vacancy_search,data manager
