,title,publication_date,location,workload,job_type,company,job_link,keyword
0,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
1,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
2,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
3,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
4,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
5,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
6,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
7,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
8,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
9,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
10,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
11,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
12,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
13,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
14,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
15,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
16,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
17,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
18,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
19,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
20,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
21,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
22,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
23,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
24,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
25,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
26,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
27,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
28,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
29,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
30,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
31,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
32,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
33,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
34,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
35,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
36,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
37,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
38,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
39,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
40,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
41,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
42,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
43,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
44,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
45,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
46,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
47,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
48,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
49,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
50,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
51,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
52,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
53,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
54,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
55,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
56,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
57,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
58,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
59,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
60,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
61,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
62,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
63,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
64,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
65,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
66,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
67,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
68,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
69,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
70,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
71,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
72,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
73,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
74,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
75,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
76,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
77,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
78,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
79,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
80,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
81,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
82,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
83,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
84,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
85,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
86,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
87,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
88,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
89,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
90,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
91,Junior PLC Engineer,04 mai 2023,Zürich (Schweiz),100%,Unlimited employment,Hitachi Zosen Inova AG,https://www.jobs.ch/en/vacancies/detail/2074acfb-0494-4eaa-98f6-ca724d1970cc/?source=vacancy_search,data engineer
92,Product Industrialization Engineer,23 mai 2023,Meyrin,100%,Unlimited employment,Georg Fischer,https://www.jobs.ch/en/vacancies/detail/b9d0d0f7-98ae-43dd-9ab5-cd0730e92d23/?source=vacancy_search,data engineer
93,Field Test / R&D Engineer,05 mai 2023,Kriens,100%,Unlimited employment,ANDRITZ,https://www.jobs.ch/en/vacancies/detail/c7b03aa4-c153-4f0c-aa4d-534d129f8701/?source=vacancy_search,data engineer
94,"Cloud Engineer (Azure, Google Cloud Platform, AWS)",29 avril 2023,Bern,80% – 100%,Unlimited employment,ti&m AG,https://www.jobs.ch/en/vacancies/detail/d1b7b800-2540-495e-bc64-0eefdef31fc9/?source=vacancy_search,data engineer
95,Fachingenieur:in (Fahrbahn Tram),24 avril 2023,Basel,100%,Unlimited employment,Wilhelm AG,https://www.jobs.ch/en/vacancies/detail/d7904f03-6968-4088-9028-6d99c9062a08/?source=vacancy_search,data engineer
96,Ingénieur Service Client Laboratoire 80-100% (h/f/nb),26 avril 2023,"Renens, CH-VD",80% – 100%,Unlimited employment,Siemens Healthineers International AG,https://www.jobs.ch/en/vacancies/detail/bbdf251b-3b96-49ef-9ab5-441e4194b3f6/?source=vacancy_search,data engineer
97,Telecomingenieurin/Telecom- ingenieur Frequenzplanung,22 mai 2023,Biel/Bienne,80% – 100%,Unlimited employment,Bundesamt für Kommunikation BAKOM,https://www.jobs.ch/en/vacancies/detail/3eda0d11-1c9a-433e-a537-a44caac2c10d/?source=vacancy_search,data engineer
98,Commissioning Engineer/ Commissioning Technician (f/m/d),09 mai 2023,Zürich,100%,Unlimited employment,Alstom,https://www.jobs.ch/en/vacancies/detail/0ddd7bf0-3a48-4783-872d-227052814b88/?source=vacancy_search,data engineer
99,Experienced Machine Learning Engineer (f/m/d),15 mai 2023,Heerbrugg,80% – 100%,Unlimited employment,Hexagon Technology Center GmbH,https://www.jobs.ch/en/vacancies/detail/1d75abad-5d09-4370-9919-187b98d68382/?source=vacancy_search,data engineer
100,Data Engineer temp. 24 months (w/m/d),25 avril 2023,Baden,100%,Temporary,Axpo Group,https://www.jobs.ch/en/vacancies/detail/3fa23bd2-215b-4500-83cf-317d15b71d13/?source=vacancy_search,data engineer
101,Big Data Engineer (w/m/d),24 mai 2023,St. Gallen,80% – 100%,Unlimited employment,Raiffeisen Schweiz,https://www.jobs.ch/en/vacancies/detail/450b00a3-aa69-4349-8d64-eb0c863adb20/?source=vacancy_search,data engineer
102,CSV Engineer MedTech 80% (5306 – KFR),17 mai 2023,Ostschweiz,80%,Temporary,CTC Resourcing Solutions,https://www.jobs.ch/en/vacancies/detail/cf1d0281-412a-426f-bafc-9b5af7c9896b/?source=vacancy_search,data engineer
103,Azure Data Ingenieur (m/w/d),23 mai 2023,Zell LU,80% – 100%,Unlimited employment,ROCKEN,https://www.jobs.ch/en/vacancies/detail/7720c681-996c-4199-b755-e47bf980308a/?source=vacancy_search,data engineer
104,Low Code Solution Engineer (80-100 %),15 mai 2023,Ittigen,80% – 100%,Unlimited employment,Gebäudeversicherung Bern – GVB Gruppe,https://www.jobs.ch/en/vacancies/detail/96ba41df-4013-4484-9226-9169a1678b80/?source=vacancy_search,data engineer
105,"DevOps Engineer (part-time possible, all genders)",04 mai 2023,Basel|Bern|Genf|Lugano|Zürich,100%,Unlimited employment,Accenture,https://www.jobs.ch/en/vacancies/detail/09f69502-2c0a-4bb7-b42a-e85e23a5e9ec/?source=vacancy_search,data engineer
106,Produktentwicklungsingenieur*,17 avril 2023,Biel,100%,Unlimited employment,HARTING AG,https://www.jobs.ch/en/vacancies/detail/6b99d040-2b69-487b-8aff-44db0d08be94/?source=vacancy_search,data engineer
107,Head Engineering & Development (m/w/d) - Digitaldruckindustrie,11 mai 2023,Oftringen AG,100%,Unlimited employment,Mercuri Urval AG,https://www.jobs.ch/en/vacancies/detail/54aa6cf9-ddc3-4272-baef-d5a10c7ad8d6/?source=vacancy_search,data engineer
108,Expert Engineer Digital Workplace & Microsoft 365 (all genders),22 mai 2023,Winterthur,50% – 100%,Unlimited employment,AXA,https://www.jobs.ch/en/vacancies/detail/6f4c288b-79a0-433d-911b-f75aae53e186/?source=vacancy_search,data engineer
109,Service Engineer (m/w/d) 80-100 %,12 avril 2023,Winterthur,80% – 100%,Unlimited employment,Swiss Birdradar Solution AG,https://www.jobs.ch/en/vacancies/detail/cf9b051f-7732-4d40-965e-d4ea7a3e8a1d/?source=vacancy_search,data engineer
110,Leiter/in Team Engineering - Wissenschaftliche/r-technische/r Mitarbeiter/in,23 mai 2023,Liebefeld,80% – 100%,Unlimited employment,Agroscope,https://www.jobs.ch/en/vacancies/detail/9fa0e3cf-a1c0-47fd-8f6d-223b16d78901/?source=vacancy_search,data engineer
